Date,CDI,GGBR,IBOV
2014-05-02,0.04071,14.050000,49696.000000
2014-05-05,0.04071,13.990000,49427.000000
2014-05-06,0.04071,14.080000,49703.000000
2014-05-07,0.04071,14.420000,50105.000000
2014-05-08,0.04071,14.380000,49696.000000
2014-05-09,0.04071,14.320000,49182.000000
2014-05-12,0.04071,14.640000,48708.000000
2014-05-13,0.04071,14.460000,48542.000000
2014-05-14,0.04071,14.210000,49300.000000
2014-05-15,0.04071,14.380000,48321.000000
2014-05-16,0.04071,14.300000,47787.000000
2014-05-19,0.04071,13.990000,47701.000000
2014-05-20,0.04071,13.760000,47841.000000
2014-05-21,0.04071,13.590000,47557.000000
2014-05-22,0.04071,13.700000,47244.000000
2014-05-23,0.04071,13.500000,47639.000000
2014-05-26,0.04071,13.680000,46148.000000
2014-05-27,0.04071,13.860000,46964.000000
2014-05-28,0.04071,13.850000,46624.000000
2014-05-29,0.04071,13.720000,47738.000000
2014-05-30,0.04071,13.330000,48074.000000
2014-06-02,0.04071,13.460000,47711.000000
2014-06-03,0.04071,13.880000,48463.000000
2014-06-04,0.04071,13.730000,48217.000000
2014-06-05,0.04071,13.590000,47813.000000
2014-06-06,0.04085,13.710000,48201.000000
2014-06-09,0.04071,13.890000,47576.000000
2014-06-10,0.04071,13.960000,46600.000000
2014-06-11,0.04071,13.800000,47151.000000
2014-06-13,0.04071,13.560000,47289.000000
2014-06-16,0.04071,13.480000,47380.000000
2014-06-17,0.04071,13.630000,47394.000000
2014-06-18,0.04071,13.900000,46716.000000
2014-06-20,0.04071,13.760000,46599.000000
2014-06-23,0.04071,13.800000,47607.000000
2014-06-24,0.04071,13.950000,47094.000000
2014-06-25,0.04071,13.650000,46589.000000
2014-06-26,0.04071,13.390000,47093.000000
2014-06-27,0.04071,13.010000,46244.000000
2014-06-30,0.04071,12.940000,45533.000000
2014-07-01,0.04071,12.930000,45698.000000
2014-07-02,0.04071,13.280000,45862.000000
2014-07-03,0.04071,13.680000,45444.000000
2014-07-04,0.04071,13.750000,44966.000000
2014-07-07,0.04071,13.900000,45118.000000
2014-07-08,0.04071,13.830000,46151.000000
2014-07-10,0.04071,13.710000,46567.000000
2014-07-11,0.04071,13.750000,47279.000000
2014-07-14,0.04071,14.000000,47381.000000
2014-07-15,0.04071,14.180000,47993.000000
2014-07-16,0.04071,14.070000,48180.000000
2014-07-17,0.04071,13.630000,47966.000000
2014-07-18,0.04071,13.370000,49647.000000
2014-07-21,0.04071,13.290000,49768.000000
2014-07-22,0.04071,13.170000,50415.000000
2014-07-23,0.04071,13.270000,50270.000000
2014-07-24,0.04071,13.670000,51701.000000
2014-07-25,0.04071,13.690000,51408.000000
2014-07-28,0.04071,13.710000,51082.000000
2014-07-29,0.04071,13.720000,52155.000000
2014-07-30,0.04071,13.370000,51629.000000
2014-07-31,0.04071,13.350000,51185.000000
2014-08-01,0.04071,13.130000,51128.000000
2014-08-04,0.04071,13.300000,51867.000000
2014-08-05,0.04074,13.200000,51597.000000
2014-08-06,0.04074,13.330000,50454.000000
2014-08-07,0.04074,13.230000,51201.000000
2014-08-08,0.04074,13.350000,52111.000000
2014-08-11,0.04074,13.160000,51977.000000
2014-08-12,0.04074,13.000000,51570.000000
2014-08-13,0.04074,12.650000,51817.000000
2014-08-14,0.04074,12.540000,51399.000000
2014-08-15,0.04074,12.500000,51384.000000
2014-08-18,0.04078,12.500000,51839.000000
2014-08-19,0.04074,12.750000,51627.000000
2014-08-20,0.04074,12.800000,52980.000000
2014-08-21,0.04085,12.880000,53446.000000
2014-08-22,0.04078,12.950000,53780.000000
2014-08-25,0.04074,13.170000,54053.000000
2014-08-26,0.04085,13.410000,53422.000000
2014-08-27,0.04085,13.500000,53100.000000
2014-08-28,0.04074,12.960000,54053.000000
2014-08-29,0.04085,12.990000,53907.000000
2014-09-01,0.04074,12.680000,54413.000000
2014-09-02,0.04074,13.100000,53856.000000
2014-09-03,0.04074,13.420000,53976.000000
2014-09-04,0.04074,13.600000,53353.000000
2014-09-05,0.04074,13.400000,52366.000000
2014-09-08,0.04074,13.040000,52203.000000
2014-09-09,0.04074,12.730000,52806.000000
2014-09-10,0.04074,12.380000,52626.000000
2014-09-11,0.04085,12.260000,52933.000000
2014-09-12,0.04074,12.360000,52174.000000
2014-09-15,0.04074,12.410000,52640.000000
2014-09-16,0.04074,12.360000,52239.000000
2014-09-17,0.04074,12.500000,51239.000000
2014-09-18,0.04074,12.560000,51606.000000
2014-09-19,0.04074,12.670000,52032.000000
2014-09-22,0.04074,12.270000,51833.000000
2014-09-23,0.04074,12.260000,51559.000000
2014-09-24,0.04085,12.310000,53129.000000
2014-09-25,0.04085,12.330000,54273.000000
2014-09-26,0.04085,12.150000,54604.000000
2014-09-29,0.04074,11.910000,55102.000000
2014-09-30,0.04074,11.780000,54807.000000
2014-10-01,0.04074,11.710000,54630.000000
2014-10-02,0.04074,11.960000,54300.000000
2014-10-03,0.04074,11.970000,55202.000000
2014-10-06,0.04074,11.990000,54638.000000
2014-10-07,0.04074,11.810000,54210.000000
2014-10-08,0.04085,11.840000,54281.000000
2014-10-09,0.04085,11.500000,53426.000000
2014-10-10,0.04085,10.920000,53507.000000
2014-10-13,0.04085,11.220000,53157.000000
2014-10-14,0.04074,11.470000,53168.000000
2014-10-15,0.04085,11.340000,53172.000000
2014-10-16,0.04074,11.120000,53029.000000
2014-10-17,0.04085,11.130000,53875.000000
2014-10-20,0.04085,11.000000,54056.000000
2014-10-21,0.04085,11.000000,53802.000000
2014-10-22,0.04085,10.930000,53634.000000
2014-10-23,0.04085,11.450000,54593.000000
2014-10-24,0.04085,11.630000,54786.000000
2014-10-27,0.04085,11.220000,55744.000000
2014-10-28,0.04085,11.170000,55974.000000
2014-10-29,0.04085,10.950000,55717.000000
2014-10-30,0.04085,10.650000,55638.000000
2014-10-31,0.04174,11.090000,57013.000000
2014-11-03,0.04164,11.100000,57634.000000
2014-11-04,0.04164,11.450000,57983.000000
2014-11-05,0.04164,11.380000,57420.000000
2014-11-06,0.04174,11.290000,57978.000000
2014-11-07,0.04174,11.590000,57821.000000
2014-11-10,0.04174,11.340000,57696.000000
2014-11-11,0.04174,11.090000,57119.000000
2014-11-12,0.04174,11.110000,56878.000000
2014-11-13,0.04174,10.800000,55829.000000
2014-11-14,0.04174,10.990000,55903.000000
2014-11-17,0.04174,10.590000,56616.000000
2014-11-18,0.04174,10.370000,56202.000000
2014-11-19,0.04174,10.400000,56487.000000
2014-11-21,0.04174,10.820000,56188.000000
2014-11-24,0.04174,10.990000,55573.000000
2014-11-25,0.04174,11.000000,56613.000000
2014-11-26,0.04174,10.500000,56442.000000
2014-11-27,0.04174,10.600000,55581.000000
2014-11-28,0.04174,10.900000,55780.000000
2014-12-01,0.04174,10.240000,56964.000000
2014-12-02,0.04164,10.140000,57561.000000
2014-12-03,0.04164,10.240000,58449.000000
2014-12-04,0.04164,10.080000,58878.000000
2014-12-05,0.04174,10.190000,58992.000000
2014-12-08,0.04353,9.860000,58407.000000
2014-12-09,0.04353,9.330000,59735.000000
2014-12-10,0.04353,9.160000,59821.000000
2014-12-11,0.04346,8.950000,60951.000000
2014-12-12,0.04346,8.310000,60291.000000
2014-12-15,0.04353,8.110000,61288.000000
2014-12-16,0.04353,8.630000,61141.000000
2014-12-17,0.04353,8.970000,61896.000000
2014-12-18,0.04353,9.170000,61837.000000
2014-12-19,0.04353,9.700000,60800.000000
2014-12-22,0.04353,9.370000,60682.000000
2014-12-23,0.04353,9.770000,59193.000000
2014-12-26,0.04353,9.360000,58676.000000
2014-12-29,0.04346,9.590000,58199.000000
2014-12-30,0.04346,9.580000,58337.000000
2015-01-02,0.04346,9.170000,56928.000000
2015-01-05,0.04353,8.750000,57949.000000
2015-01-06,0.04346,9.670000,59115.000000
2015-01-07,0.04346,10.380000,59108.000000
2015-01-08,0.04346,10.140000,58375.000000
2015-01-09,0.04346,9.680000,57789.000000
2015-01-12,0.04346,9.450000,56818.000000
2015-01-13,0.04346,9.180000,56541.000000
2015-01-14,0.04346,8.830000,56824.000000
2015-01-15,0.04346,8.980000,55962.000000
2015-01-16,0.04346,9.420000,57212.000000
2015-01-19,0.04346,9.010000,54625.000000
2015-01-20,0.04346,9.190000,54116.000000
2015-01-21,0.04346,9.140000,52858.000000
2015-01-22,0.04346,9.100000,53519.000000
2015-01-23,0.04346,8.930000,54540.000000
2015-01-26,0.04346,8.940000,57116.000000
2015-01-27,0.04346,8.790000,57436.000000
2015-01-28,0.0453,8.720000,57059.000000
2015-01-29,0.04527,8.940000,57268.000000
2015-01-30,0.04527,9.270000,55311.000000
2015-02-02,0.04527,9.480000,57956.000000
2015-02-03,0.04527,9.660000,58015.000000
2015-02-04,0.04527,9.560000,56135.000000
2015-02-05,0.04527,9.660000,54298.000000
2015-02-06,0.04527,9.770000,55724.000000
2015-02-09,0.0453,10.340000,54303.000000
2015-02-10,0.0453,9.750000,52432.000000
2015-02-11,0.0453,10.130000,52411.000000
2015-02-12,0.0453,9.840000,50713.000000
2015-02-13,0.0453,10.140000,51941.000000
2015-02-18,0.0453,10.280000,50504.000000
2015-02-19,0.0453,10.110000,52330.000000
2015-02-20,0.0453,10.180000,51049.000000
2015-02-23,0.0453,10.000000,52337.000000
2015-02-24,0.0453,10.090000,54629.000000
2015-02-25,0.0453,10.210000,53947.000000
2015-02-26,0.0453,10.190000,54384.000000
2015-02-27,0.0453,10.140000,53698.000000
2015-03-02,0.0453,9.800000,52637.000000
2015-03-03,0.0453,10.010000,53223.000000
2015-03-04,0.0453,10.460000,52725.000000
2015-03-05,0.0453,10.580000,52474.000000
2015-03-06,0.0453,10.730000,52979.000000
2015-03-09,0.0453,11.000000,51846.000000
2015-03-10,0.0453,10.900000,51772.000000
2015-03-11,0.0471,10.890000,51257.000000
2015-03-12,0.0471,10.840000,52062.000000
2015-03-13,0.0471,10.840000,53402.000000
2015-03-16,0.0471,10.750000,56084.000000
2015-03-17,0.0471,11.090000,55407.000000
2015-03-18,0.0471,11.400000,55561.000000
2015-03-19,0.0471,11.160000,55098.000000
2015-03-20,0.0471,11.040000,54721.000000
2015-03-23,0.0471,11.100000,54664.000000
2015-03-24,0.0471,10.910000,52277.000000
2015-03-25,0.0471,11.120000,51612.000000
2015-03-26,0.0471,10.820000,52320.000000
